[0.25 0.25 0.1  0.  ],[0.25 0.25 1.   8.  ],[0.25 0.25 0.   6.  ]
[0.25 0.25 0.1  0.  ],[ 1.     0.25   0.729 10.   ],[0.677 0.25  1.    7.   ]
[0.25 0.25 0.1  0.  ],[ 0.683  1.     0.827 11.   ],[0.786 0.821 1.    8.   ]
[0.25 0.25 0.1  0.  ],[0.    0.683 0.52  4.   ],[ 0.183  1.     0.827 11.   ]
[0.25 0.25 0.1  0.  ],[0.   0.25 0.31 3.  ],[0.823 0.25  1.    7.   ]
[0.25 0.25 0.1  0.  ],[0.106 0.    0.342 1.   ],[0.    0.183 0.52  3.   ]
[0.25 0.25 0.1  0.  ],[0.394 0.    0.342 1.   ],[0.786 0.679 1.    7.   ]
[0.25 0.25 0.1  0.  ],[ 1.    0.25  0.1  10.  ],[0.   0.25 0.1  3.  ]
[0.25 0.25 0.1  0.  ],[ 1.   1.   0.1 11. ],[nan nan nan nan]
[0.25 0.25 0.1  0.  ],[ 0.25  1.    0.1  12.  ],[0.25 0.   0.1  1.  ]
[0.25 0.25 0.1  0.  ],[0.  0.5 0.1 3. ],[ 0.5  1.   0.1 12. ]
[0.25 0.25 0.1  0.  ],[0.   0.25 0.1  3.  ],[ 1.    0.25  0.1  10.  ]
[0.25 0.25 0.1  0.  ],[0.000e+00 5.551e-17 1.000e-01 3.000e+00],[nan nan nan nan]
[0.25 0.25 0.1  0.  ],[0.25 0.   0.1  1.  ],[ 0.25  1.    0.1  12.  ]
[0.25 0.25 0.1  0.  ],[0.5 0.  0.1 1. ],[ 1.   0.5  0.1 10. ]
[0.25 0.25 0.1  0.  ],[0.369 0.25  0.    6.   ],[ 1.     0.25   0.529 10.   ]
[0.25 0.25 0.1  0.  ],[0.31  0.353 0.    5.   ],[ 0.683  1.     0.627 11.   ]
[0.25 0.25 0.1  0.  ],[0.19  0.353 0.    5.   ],[0.    0.683 0.32  4.   ]
[0.25 0.25 0.1  0.  ],[0.131 0.25  0.    5.   ],[0.   0.25 0.11 3.  ]
[0.25 0.25 0.1  0.  ],[0.19  0.147 0.    6.   ],[0.106 0.    0.142 1.   ]
[0.25 0.25 0.1  0.  ],[0.31  0.147 0.    6.   ],[0.394 0.    0.142 1.   ]
[0.25 0.25 0.1  0.  ],[0.25 0.25 0.   6.  ],[0.25 0.25 1.   8.  ]
[0. 0. 0. 0.],[0. 0. 0. 0.],[0. 0. 0. 0.]
