[0.5 0.5 0.5 0. ],[0.5 0.5 1.  7. ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.588 0.5   1.    7.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.527 0.584 1.    8.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.429 0.552 1.    8.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.429 0.448 1.    8.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.527 0.416 1.    7.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.682 0.5   1.    7.   ],[ 1.     0.5    0.126 10.   ]
[0.5 0.5 0.5 0. ],[0.658 0.591 1.    7.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.591 0.658 1.    8.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.5   0.682 1.    8.   ],[ 0.5    1.     0.126 12.   ]
[0.5 0.5 0.5 0. ],[0.409 0.658 1.    8.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.342 0.591 1.    8.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.318 0.5   1.    8.   ],[0.    0.5   0.126 3.   ]
[0.5 0.5 0.5 0. ],[0.342 0.409 1.    8.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.409 0.342 1.    7.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.5   0.318 1.    7.   ],[0.5   0.    0.126 1.   ]
[0.5 0.5 0.5 0. ],[0.591 0.342 1.    7.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.658 0.409 1.    7.   ],[nan nan nan nan]
[0.5 0.5 0.5 0. ],[0.789 0.5   1.    7.   ],[1.    0.5   0.634 9.   ]
[0.5 0.5 0.5 0. ],[0.769 0.604 1.    7.   ],[1.    0.694 0.571 9.   ]
[0.5 0.5 0.5 0. ],[0.713 0.694 1.    7.   ],[1.    0.956 0.328 9.   ]
[0.5 0.5 0.5 0. ],[0.629 0.758 1.    8.   ],[ 0.749  1.     0.533 11.   ]
[0.5 0.5 0.5 0. ],[0.527 0.787 1.    8.   ],[ 0.546  1.     0.63  11.   ]
[0.5 0.5 0.5 0. ],[0.421 0.778 1.    8.   ],[ 0.358  1.     0.6   12.   ]
[0.5 0.5 0.5 0. ],[0.326 0.73  1.    8.   ],[ 0.122  1.     0.415 12.   ]
[0.5 0.5 0.5 0. ],[0.255 0.652 1.    8.   ],[0.    0.81  0.481 4.   ]
[0.5 0.5 0.5 0. ],[0.216 0.553 1.    8.   ],[0.    0.593 0.619 4.   ]
[0.5 0.5 0.5 0. ],[0.216 0.447 1.    8.   ],[0.    0.407 0.619 4.   ]
[0.5 0.5 0.5 0. ],[0.255 0.348 1.    8.   ],[0.    0.19  0.481 3.   ]
[0.5 0.5 0.5 0. ],[0.326 0.27  1.    7.   ],[0.122 0.    0.415 1.   ]
[0.5 0.5 0.5 0. ],[0.421 0.222 1.    7.   ],[0.358 0.    0.6   1.   ]
[0.5 0.5 0.5 0. ],[0.527 0.213 1.    7.   ],[0.546 0.    0.63  2.   ]
[0.5 0.5 0.5 0. ],[0.629 0.242 1.    7.   ],[0.749 0.    0.533 2.   ]
[0.5 0.5 0.5 0. ],[0.713 0.306 1.    7.   ],[ 1.     0.044  0.328 10.   ]
[0.5 0.5 0.5 0. ],[0.769 0.396 1.    7.   ],[ 1.     0.306  0.571 10.   ]
[0.5 0.5 0.5 0. ],[0.92 0.5  1.   7.  ],[1.    0.5   0.904 9.   ]
[0.5 0.5 0.5 0. ],[0.904 0.613 1.    7.   ],[1.    0.64  0.881 9.   ]
[0.5 0.5 0.5 0. ],[0.858 0.718 1.    7.   ],[1.    0.804 0.803 9.   ]
[0.5 0.5 0.5 0. ],[0.786 0.807 1.    8.   ],[ 0.967  1.     0.685 11.   ]
[0.5 0.5 0.5 0. ],[0.693 0.873 1.    8.   ],[ 0.759  1.     0.829 11.   ]
[0.5 0.5 0.5 0. ],[0.585 0.911 1.    8.   ],[ 0.604  1.     0.891 11.   ]
[0.5 0.5 0.5 0. ],[0.471 0.919 1.    8.   ],[ 0.466  1.     0.903 11.   ]
[0.5 0.5 0.5 0. ],[0.36  0.895 1.    8.   ],[ 0.322  1.     0.868 11.   ]
[0.5 0.5 0.5 0. ],[0.258 0.843 1.    8.   ],[ 0.147  1.     0.771 12.   ]
[0.5 0.5 0.5 0. ],[0.175 0.765 1.    8.   ],[0.    0.907 0.732 4.   ]
[0.5 0.5 0.5 0. ],[0.115 0.667 1.    8.   ],[0.    0.717 0.85  4.   ]
[0.5 0.5 0.5 0. ],[0.084 0.557 1.    8.   ],[1.388e-17 5.687e-01 8.985e-01 4.000e+00]
[0.5 0.5 0.5 0. ],[0.084 0.443 1.    8.   ],[1.388e-17 4.313e-01 8.985e-01 4.000e+00]
[0.5 0.5 0.5 0. ],[0.115 0.333 1.    8.   ],[0.    0.283 0.85  4.   ]
[0.5 0.5 0.5 0. ],[0.175 0.235 1.    8.   ],[0.    0.093 0.732 3.   ]
[0.5 0.5 0.5 0. ],[0.258 0.157 1.    7.   ],[0.147 0.    0.771 1.   ]
[0.5 0.5 0.5 0. ],[0.36  0.105 1.    7.   ],[0.322 0.    0.868 2.   ]
