[2020-09-05 18:42:23 RayTracerMainProgram.py:859 -             <module>() ] 3.6.9 |Intel Corporation| (default, Sep 11 2019, 16:40:08) 
[GCC 4.8.2 20140120 (Red Hat 4.8.2-15)]
[2020-09-05 18:42:25 Rays.py:521 -       mesh_singleray() ] Time doing initial checks and assignment in singleray 0.000642
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002216
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002388
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.004296
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.003864
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.004200
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.005688
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.003932
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002720
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000107
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002506
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.003856
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002445
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.008930
[2020-09-05 18:42:25 Rays.py:567 -       mesh_singleray() ] time to ray loop 0.057395
[2020-09-05 18:42:25 Rays.py:587 -       mesh_singleray() ] time doing double check 0.000887
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.005919
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.028163
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.005733
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.018688
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.004306
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.002273
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.004173
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.004018
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.003915
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002706
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000106
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002494
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.002273
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002429
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.005771
[2020-09-05 18:42:25 Rays.py:616 -       mesh_singleray() ] Time doing conestepping 0.095889
[2020-09-05 18:42:25 Rays.py:587 -       mesh_singleray() ] time doing double check 0.000478
[2020-09-05 18:42:25 Rays.py:609 -       mesh_singleray() ] Time doing sanity checks on column numbers 0.000443
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.005935
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.028179
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.005742
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.019401
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.004290
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.003840
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.004146
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.005606
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.003897
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002725
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000106
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002509
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.003849
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002454
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.008925
[2020-09-05 18:42:25 Rays.py:616 -       mesh_singleray() ] Time doing conestepping 0.105207
[2020-09-05 18:42:25 Rays.py:587 -       mesh_singleray() ] time doing double check 0.000893
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.005908
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.028197
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.005736
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.016974
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.004334
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.002270
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.004217
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.004019
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.003919
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002706
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000106
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002491
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.002284
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002436
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.005740
[2020-09-05 18:42:25 Rays.py:616 -       mesh_singleray() ] Time doing conestepping 0.094260
[2020-09-05 18:42:25 Rays.py:587 -       mesh_singleray() ] time doing double check 0.000883
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.005896
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.028152
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.005714
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.016972
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.004283
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.002268
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.004148
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.004017
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.003901
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002720
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000106
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002504
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.002275
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002448
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.005750
[2020-09-05 18:42:25 Rays.py:616 -       mesh_singleray() ] Time doing conestepping 0.094082
[2020-09-05 18:42:25 Rays.py:587 -       mesh_singleray() ] time doing double check 0.000884
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.005931
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.028215
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.005765
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.016976
